episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
39,1.1882971307920824,1,0,3,1,0,1,665,3,3,False,,0.6343843175940208,2.0,12.97998459167036,12.97998459167036,8.653323061113573,2,451.20000000000005,436.4661068097755,14.733893190224535,0.04962452867566712,0.14829713079208245
40,3.0691452961035015,1,0,30,1,0,1,6043,30,30,False,,-0.5422010275842659,1.5,12.97998459167036,12.97998459167036,10.38398767333629,29,98.4,87.24893300209465,11.15106699790536,0.04978458638265798,1.4891452961035012
41,1.258055477958024,1,0,4,1,0,1,848,4,4,False,,0.6462087970075387,2.0,12.97998459167036,12.97998459167036,8.653323061113575,3,552.0,571.8460294689658,19.846029468965753,0.049320861284938435,0.198055477958024
42,1.328475509701232,1,0,5,1,0,1,1153,5,5,False,,-0.6367490812534953,2.0,12.97998459167036,12.979984591670359,7.211102550927978,4,148.8,159.34266543970966,10.542665439709651,0.0498074069549257,0.24847550970123206
43,1.537173273078332,1,0,8,1,0,1,1488,8,8,False,,-0.5603533370734866,1.5,12.97998459167036,12.97998459167036,9.968628166402839,7,199.2,187.4722790449821,11.727720955017901,0.04976178552229114,0.3971732730783321
44,1.118745208241978,1,0,2,1,0,1,384,2,2,False,,0.7346516696967015,2.0,12.97998459167036,12.979984591670359,10.38398767333629,1,249.60000000000002,239.73713586661688,9.862864133383141,0.049831402791981394,0.09874520824197802
45,1.675699793073592,1,0,10,1,0,1,1820,10,10,False,,0.6483800121663823,2.0,12.97998459167036,12.97998459167036,10.38398767333629,9,451.20000000000005,427.6882078514186,23.511792148581435,0.04904942235307305,0.4956997930735917
46,2.9987579546784104,1,0,29,1,0,1,5815,29,29,False,,0.5664463516475706,1.5,12.97998459167036,12.97998459167036,10.38398767333629,28,451.20000000000005,429.9227378526316,21.277262147368447,0.049220169838194334,1.4387579546784106
47,2.0240899719872454,1,0,15,1,0,1,3288,15,15,False,,0.6035633599845965,2.0,12.97998459167036,12.979984591670362,7.211102550927978,14,552.0,582.3841265593421,30.38412655934212,0.048422647042559004,0.7440899719872456
48,1.1884493364912219,1,0,3,1,0,1,660,3,3,False,,0.611787194069241,2.0,12.97998459167036,12.97998459167036,8.653323061113577,2,552.0,564.2556933218746,12.25569332187456,0.04973991142198727,0.14844933649122183
49,1.7464142437148058,1,0,11,1,0,1,2299,11,11,False,,0.5612872090187778,1.5,12.97998459167036,12.979984591670362,10.38398767333629,10,400.79999999999995,415.1843580789855,14.384358078985542,0.0496420689647131,0.5464142437148057
50,1.7456765983763587,1,0,11,1,0,1,2457,11,11,False,,0.6908705444394485,2.0,12.97998459167036,12.97998459167036,8.653323061113575,10,98.4,97.07156146018951,1.3284385398104916,0.04999693629359935,0.5456765983763591
51,1.4669848661717522,1,0,7,1,0,1,1356,7,7,False,,0.5890975906951766,1.5,12.97998459167036,12.97998459167036,10.383987673336287,6,552.0,546.3164944577197,5.6835055422802725,0.049943951168681715,0.3469848661717521
52,1.6059061897681086,1,0,9,1,0,1,1977,9,9,False,,-0.5932746197775203,1.5,12.97998459167036,12.97998459167036,10.383987673336287,8,48.0,41.27612197954659,6.723878020453412,0.04992157106212858,0.4459061897681086
53,1.1189875490715406,1,0,2,1,0,1,454,2,2,False,,0.6223586742380178,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,552.0,546.5141518245623,5.485848175437695,0.04994777984018192,0.09898754907154063
54,1.5376199512670907,1,0,8,1,0,1,1685,8,8,False,,0.5817497435391175,1.5,12.97998459167036,12.97998459167036,9.968628166402837,7,501.6,496.1264137807609,5.47358621923911,0.049948012902797406,0.3976199512670907
55,1.8145920517237784,1,0,12,1,0,1,2407,12,12,False,,0.6045345456720626,2.0,12.97998459167036,12.97998459167036,9.96862816640284,11,501.6,478.6433862122469,22.9566137877531,0.04909337917073847,0.5945920517237784
56,2.5122407457599243,1,0,22,1,0,1,4342,22,22,False,,-0.5530011994309149,1.5,12.97998459167036,12.97998459167036,10.38398767333629,21,199.2,208.26933761652037,9.069337616520386,0.049857403577601656,1.0922407457599244
