policy,episodes,win_rate,loss_rate,mean_reward,mean_score_diff,mean_steps,mean_successful_agent_returns,mean_final_target_alignment_error,mean_final_target_alignment_reward
heuristic_predictive,300,0.9966666666666667,0.0,1.6534168619672966,0.9966666666666667,9.723333333333333,8.726666666666667,14.1791529430975,0.04952876447170989
ppo_final,300,0.8166666666666667,0.18333333333333332,0.8271272659457531,0.6333333333333333,3.12,2.12,31.543771420744616,0.04762153828923882
ppo_best_by_win_rate,300,0.37666666666666665,0.6233333333333333,-0.15369838060813537,-0.24666666666666667,1.7833333333333334,0.7833333333333333,79.79496761907718,0.03910911404047493
center,300,0.15333333333333332,0.8466666666666667,-0.651283591699774,-0.6933333333333334,1.2633333333333334,0.2633333333333333,153.02400372130492,0.02400352792592264
top,300,0.11333333333333333,0.8866666666666667,-0.7523478633513758,-0.7733333333333333,1.1266666666666667,0.12666666666666668,266.99234740185204,0.012245484610108595
random,300,0.10666666666666667,0.8933333333333333,-0.7579324929585239,-0.7866666666666666,1.13,0.13,196.76896132535367,0.01977345646764593
bottom,300,0.1,0.9,-0.7843356048842923,-0.8,1.0933333333333333,0.09333333333333334,292.47972511004366,0.009221287466964517
