policy,episodes,mean_reward,win_rate,loss_rate,mean_score_diff,mean_steps,mean_rally_hits,truncation_rate,mean_final_hit_offset,mean_final_speed_multiplier,mean_final_outgoing_speed,mean_final_ball_speed,mean_last_left_outgoing_speed,mean_successful_agent_returns,mean_final_target_alignment_error,mean_final_target_alignment_reward,mean_cumulative_target_alignment_reward
random,300,-0.7579324929585239,0.10666666666666667,0.8933333333333333,-0.7866666666666666,1.13,1.13,0.0,0.005686066870920072,1.305,8.601530551881828,8.235432493438909,7.652464017464257,0.13,196.76896132535367,0.01977345646764593,0.02613417370814276
center,300,-0.651283591699774,0.15333333333333332,0.8466666666666667,-0.6933333333333334,1.2633333333333334,1.2633333333333334,0.0,0.004639318017371116,1.3883333333333334,9.178800269674223,8.662497570927842,7.833628554301584,0.2633333333333333,153.02400372130492,0.02400352792592264,0.036783074966892676
top,300,-0.7523478633513758,0.11333333333333333,0.8866666666666667,-0.7733333333333333,1.1266666666666667,1.1266666666666667,0.0,0.035312613217957624,1.3266666666666667,8.700060175058224,8.27138418143514,7.6483127710099295,0.12666666666666668,266.99234740185204,0.012245484610108595,0.018452136648624176
bottom,300,-0.7843356048842923,0.1,0.9,-0.8,1.0933333333333333,1.0933333333333333,0.0,-0.01842185531736777,1.3033333333333332,8.523085811816712,8.173829933971398,7.6142952319612744,0.09333333333333334,292.47972511004366,0.009221287466964517,0.01379772844904098
heuristic_predictive,300,1.6534168619672966,0.9966666666666667,0.0,0.9966666666666667,9.723333333333333,9.726666666666667,0.0033333333333333335,0.029276526757701465,1.8133333333333332,12.917917383162239,12.917917383162239,9.111282933960771,8.726666666666667,14.1791529430975,0.04952876447170989,0.4822168619672963
