episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
0,-0.9892897228406404,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,552.0,341.344845325218,210.655154674782,0.010710277159359618,0.010710277159359618
1,1.1170001703092585,1,0,2,1,0,1,460,2,2,False,,-0.8223244620629885,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,552.0,525.7010254269685,26.2989745730315,0.04881354639166038,0.09700017030925842
2,-0.9746784690577658,0,1,1,0,1,-1,368,1,1,False,,0.8840082370854958,2.0,12.36931687685298,9.895453501482388,9.895453501482386,0,552.0,412.01929828962466,139.98070171037534,0.025321530942234206,0.025321530942234206
3,-0.9999783840524352,0,1,1,0,1,-1,362,1,1,False,,-0.1026720504396053,1.0,6.291573387901151,7.211102550927978,7.211102550927978,0,552.0,79.67088640024264,472.32911359975736,2.1615947564758716e-05,2.1615947564758716e-05
4,-0.9999962348723539,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,552.0,29.097428016291843,522.9025719837082,3.7651276460940718e-06,3.7651276460940718e-06
5,-0.9980383157736127,0,1,1,0,1,-1,303,1,1,False,,0.2136523721438209,1.5,9.776801528430854,7.821441222744683,7.821441222744683,0,552.0,246.61381082726348,305.3861891727365,0.0019616842263873633,0.0019616842263873633
6,-0.9904043549116684,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,552.0,333.9620376642904,218.0379623357096,0.0095956450883316,0.0095956450883316
7,-0.9987040210039919,0,1,1,0,1,-1,291,1,1,False,,0.23604031567184194,1.5,10.37547923304157,8.300383386433257,8.300383386433257,0,552.0,227.65544478887432,324.3445552111257,0.0012959789960080622,0.0012959789960080622
8,1.0482567653937331,1,0,1,1,0,1,201,1,1,False,,0.85,2.0,12.36931687685298,12.36931687685298,7.211102550927978,0,552.0,583.9691225290553,31.969122529055312,0.048256765393733136,0.048256765393733136
9,-0.9804220666685037,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,552.0,387.6727234830098,164.3272765169902,0.01957793333149625,0.01957793333149625
