episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
0,-0.91566691660159,0,1,2,0,1,-1,692,2,2,False,,1.0,2.0,12.97998459167036,10.38398767333629,10.38398767333629,1,300.0,124.76095966794082,175.23904033205918,0.017214429590582822,0.06433308339840994
1,-0.9905982887765341,0,1,1,0,1,-1,351,1,1,False,,0.07451506902893072,1.0,6.7169010477996,7.211102550927978,7.211102550927978,0,300.0,519.3822715830053,219.38227158300526,0.009401711223465885,0.009401711223465885
2,-0.9676595962330953,0,1,1,0,1,-1,368,1,1,False,,0.8840082370854958,2.0,12.36931687685298,9.895453501482388,9.895453501482386,0,300.0,412.01929828962466,112.01929828962466,0.032340403766904675,0.032340403766904675
3,-0.9907332236854126,0,1,1,0,1,-1,362,1,1,False,,-0.1026720504396053,1.0,6.291573387901151,7.211102550927978,7.211102550927978,0,300.0,79.67088640024264,220.32911359975736,0.009266776314587406,0.009266776314587406
4,-0.9960888889300059,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,300.0,29.097428016291843,270.9025719837082,0.003911111069994042,0.003911111069994042
5,-0.9547111115665354,0,1,1,0,1,-1,303,1,1,False,,0.2136523721438209,1.5,9.776801528430854,7.821441222744683,7.821441222744683,0,300.0,246.61381082726348,53.38618917273652,0.045288888433464625,0.045288888433464625
6,1.1164533892719508,1,0,2,1,0,1,480,2,2,False,,0.848476514439325,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,300.0,330.4463262801337,30.44632628013369,0.04841628587265033,0.09645338927195085
7,-0.9583085485241741,0,1,1,0,1,-1,291,1,1,False,,0.23604031567184194,1.5,10.37547923304157,8.300383386433257,8.300383386433257,0,300.0,227.65544478887432,72.34455521112568,0.041691451475825834,0.041691451475825834
8,1.0030406654488495,1,0,1,1,0,1,201,1,1,False,,0.85,2.0,12.36931687685298,12.36931687685298,7.211102550927978,0,300.0,583.9691225290553,283.9691225290553,0.0030406654488495766,0.0030406654488495766
9,-0.9617122339604742,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,300.0,387.6727234830098,87.6727234830098,0.038287766039525745,0.038287766039525745
10,-0.9803911271002785,0,1,1,0,1,-1,305,1,1,False,,-0.20711712382673114,1.5,9.630395474914684,7.704316379931747,7.704316379931747,0,300.0,135.81115668623988,164.18884331376012,0.01960887289972143,0.01960887289972143
11,-0.9933210103936128,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,300.0,59.21789719240428,240.78210280759572,0.006678989606387209,0.006678989606387209
12,-0.9970414077400424,0,1,1,0,1,-1,342,1,1,False,,-0.0507068372560461,1.0,7.1954576969304505,7.211102550927979,7.211102550927978,0,300.0,14.6466894944502,285.3533105055498,0.0029585922599576087,0.0029585922599576087
