episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
10,1.110354389374553,1,0,2,1,0,1,438,2,2,False,,0.9571856646308682,2.0,12.97998459167036,12.97998459167036,7.704316379931747,1,350.4,417.68822648096193,67.28822648096195,0.042726144300795556,0.09035438937455312
11,1.1085602796157563,1,0,2,1,0,1,507,2,2,False,,-1.0,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,350.4,275.5258691481581,74.87413085184187,0.04115582711589839,0.0885602796157563
12,-0.9608084989071648,0,1,1,0,1,-1,342,1,1,False,,-0.0507068372560461,1.0,7.1954576969304505,7.211102550927979,7.211102550927978,0,98.4,14.6466894944502,83.7533105055498,0.03919150109283523,0.03919150109283523
13,1.222329701986721,1,0,4,1,0,1,941,4,4,False,,0.587601324288417,1.5,12.979984591670359,12.979984591670359,8.653323061113573,3,350.4,541.8904866843186,191.49048668431863,0.013996502854199606,0.162329701986721
14,-0.8912527231815995,0,1,2,0,1,-1,600,2,2,False,,0.76487934559388,2.0,12.97998459167036,10.383987673336287,10.383987673336287,1,98.4,20.245554299125615,78.15444570087439,0.04044469948800608,0.0887472768184004
15,1.083040246507374,1,0,2,1,0,1,388,2,2,False,,0.6205489716848362,2.0,12.97998459167036,12.97998459167036,7.895728448563659,1,350.4,540.8850850405702,190.4850850405702,0.014184391716656196,0.06304024650737401
16,1.096005140448751,1,0,2,1,0,1,394,2,2,False,,-0.6663976420982329,2.0,12.97998459167036,12.97998459167036,7.833796772974644,1,350.4,217.53400524972767,132.8659947502723,0.027087129270325888,0.07600514044875109
17,-0.9583144337478275,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,98.4,170.77264955755993,72.37264955755992,0.04168556625217243,0.04168556625217243
18,-0.9229206364183506,0,1,2,0,1,-1,569,2,2,False,,-0.3189283897795228,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,350.4,585.6497272605475,235.2497272605475,0.007318538925030537,0.05707936358164936
19,-0.9581450083469525,0,1,1,0,1,-1,368,1,1,False,,-0.18784102289335003,1.0,6.187980997206122,7.211102550927979,7.211102550927978,0,350.4,278.83894988642123,71.56105011357874,0.04185499165304757,0.04185499165304757
20,-0.9687916921465888,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,350.4,233.89011347223436,116.50988652776562,0.031208307853411273,0.031208307853411273
21,-0.8903609430383721,0,1,2,0,1,-1,582,2,2,False,,0.42226937375335644,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,98.4,177.94844969877374,79.54844969877374,0.04013714907112401,0.08963905696162792
22,-0.9605996930811446,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,350.4,433.23467088650057,82.83467088650059,0.039400306918855425,0.039400306918855425
23,-0.9581494919056616,0,1,1,0,1,-1,315,1,1,False,,-0.22184643477103663,1.5,9.276987657639737,7.42159012611179,7.42159012611179,0,350.4,421.9826036854786,71.5826036854786,0.041850508094338414,0.041850508094338414
24,-0.9625747831681917,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,350.4,441.73857073252316,91.33857073252318,0.03742521683180835,0.03742521683180835
25,-0.8958499040060484,0,1,2,0,1,-1,564,2,2,False,,-0.690064223669711,2.0,12.97998459167036,10.38398767333629,10.38398767333629,1,350.4,449.70853499437317,99.30853499437319,0.03550189310638877,0.08415009599395165
26,-0.961794831044776,0,1,1,0,1,-1,299,1,1,False,,-0.2296902893437574,1.5,9.975221867519862,7.980177494015891,7.980177494015891,0,350.4,438.4267172906136,88.02671729061365,0.03820516895522397,0.03820516895522397
27,1.1025269152468766,1,0,2,1,0,1,495,2,2,False,,-0.9444844810565158,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,350.4,249.54800128669376,100.85199871330622,0.035123096027106754,0.08252691524687658
28,-0.9653652854975686,0,1,1,0,1,-1,368,1,1,False,,-0.19009538719420505,1.0,6.210654081399572,7.211102550927979,7.211102550927978,0,350.4,247.56811929030846,102.83188070969152,0.03463471450243138,0.03463471450243138
29,-0.9536931039363542,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,98.4,51.39058779152833,47.00941220847167,0.04630689606364579,0.04630689606364579
30,-0.9543428138817747,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,98.4,47.24508429827313,51.15491570172688,0.04565718611822538,0.04565718611822538
31,-0.9712405006244262,0,1,1,0,1,-1,303,1,1,False,,-0.21181820839181,1.5,9.73433958723362,7.787471669786897,7.787471669786896,0,350.4,224.19389660069146,126.20610339930852,0.028759499375573733,0.028759499375573733
32,-0.8966904980321161,0,1,2,0,1,-1,566,2,2,False,,-0.2598789600117975,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,350.4,457.94608607704686,107.54608607704688,0.03346232589211502,0.08330950196788384
33,1.1860203119881139,1,0,3,1,0,1,746,3,3,False,,1.0,2.0,12.97998459167036,12.97998459167036,8.653323061113573,2,98.4,105.22257115071397,6.822571150713969,0.04991925367776692,0.146020311988114
34,-0.8206697002342,0,1,3,0,1,-1,792,3,3,False,,-0.638477545140908,2.0,12.97998459167036,10.38398767333629,10.38398767333629,2,350.4,277.3747426009495,73.02525739905047,0.04154845016290739,0.1393302997657999
