episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
15,-0.9588667860724546,0,1,1,0,1,-1,301,1,1,False,,0.21751584090568626,1.5,9.869660560704574,7.89572844856366,7.895728448563659,0,350.4,275.4202423108436,74.97975768915637,0.04113321392754543,0.04113321392754543
16,-0.9590212475974912,0,1,1,0,1,-1,303,1,1,False,,0.21430846035346462,1.5,9.792245966218305,7.833796772974644,7.833796772974644,0,148.8,224.49885101898258,75.69885101898257,0.0409787524025088,0.0409787524025088
17,-0.9583144337478275,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,98.4,170.77264955755993,72.37264955755992,0.04168556625217243,0.04168556625217243
18,-0.9955336192320432,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,350.4,86.64859360522888,263.7514063947711,0.004466380767956766,0.004466380767956766
19,-0.9821771077245639,0,1,1,0,1,-1,368,1,1,False,,-0.18784102289335003,1.0,6.187980997206122,7.211102550927979,7.211102550927978,0,451.20000000000005,278.83894988642123,172.3610501135788,0.01782289227543615,0.01782289227543615
20,-0.9902981641447561,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,451.20000000000005,233.89011347223436,217.30988652776568,0.009701835855243892,0.009701835855243892
21,-0.97325073053114,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,249.60000000000002,115.38056679232386,134.21943320767616,0.02674926946886004,0.02674926946886004
22,-0.9844954906117696,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,249.60000000000002,433.23467088650057,183.63467088650054,0.015504509388230451,0.015504509388230451
23,-0.9986816138523069,0,1,1,0,1,-1,315,1,1,False,,-0.22184643477103663,1.5,9.276987657639737,7.42159012611179,7.42159012611179,0,98.4,421.9826036854786,323.5826036854786,0.0013183861476930773,0.0013183861476930773
24,-0.9974593886684021,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,148.8,441.73857073252316,292.93857073252315,0.0025406113315978437,0.0025406113315978437
25,-0.9999841500958785,0,1,1,0,1,-1,348,1,1,False,,-0.06661503398070323,1.0,6.864756666689859,7.211102550927977,7.211102550927978,0,552.0,70.30454932930456,481.69545067069544,1.584990412147219e-05,1.584990412147219e-05
26,-0.985502390143041,0,1,1,0,1,-1,299,1,1,False,,-0.2296902893437574,1.5,9.975221867519862,7.980177494015891,7.980177494015891,0,249.60000000000002,438.4267172906136,188.8267172906136,0.014497609856958998,0.014497609856958998
27,-0.9954894005710012,0,1,1,0,1,-1,366,1,1,False,,-0.19890081655161646,1.0,6.310789473200935,7.211102550927978,7.211102550927978,0,48.0,311.21298780680763,263.21298780680763,0.0045105994289987425,0.0045105994289987425
28,-0.9874574610437954,0,1,1,0,1,-1,368,1,1,False,,-0.19009538719420505,1.0,6.210654081399572,7.211102550927979,7.211102550927978,0,48.0,247.56811929030846,199.56811929030846,0.012542538956204602,0.012542538956204602
29,-0.9998056781951006,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,451.20000000000005,51.39058779152833,399.8094122084717,0.00019432180489941994,0.00019432180489941994
30,-0.9297008232345516,0,1,2,0,1,-1,623,2,2,False,,-0.044016122453454896,1.0,7.211102550927978,7.211102550927978,7.211102550927978,1,451.20000000000005,67.37095961775071,383.82904038224933,0.00030016616141736817,0.050299176765448365
31,-0.9711365832968654,0,1,1,0,1,-1,303,1,1,False,,-0.21181820839181,1.5,9.73433958723362,7.787471669786897,7.787471669786896,0,98.4,224.19389660069146,125.79389660069145,0.028863416703134626,0.028863416703134626
32,-0.995337056806763,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,350.4,89.01057079593778,261.3894292040622,0.00466294319323698,0.00466294319323698
33,-0.9912926804869511,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,300.0,75.6379276880528,224.3620723119472,0.008707319513048886,0.008707319513048886
34,-0.9577201161558115,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,199.2,268.6988765506213,69.49887655062133,0.04227988384418849,0.04227988384418849
35,-0.9899967729365514,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,249.60000000000002,34.326872474396396,215.27312752560363,0.010003227063448571,0.010003227063448571
36,-0.9769754042969844,0,1,1,0,1,-1,287,1,1,False,,-0.2429906291385361,1.5,10.589151315723596,8.471321052578878,8.471321052578878,0,552.0,402.5568753820987,149.44312461790128,0.0230245957030156,0.0230245957030156
37,-0.9995919481659996,0,1,1,0,1,-1,296,1,1,False,,-0.22559703747184373,1.5,10.078377025507116,8.062701620405695,8.062701620405695,0,48.0,420.13097335475913,372.13097335475913,0.00040805183400038117,0.00040805183400038117
38,-0.99040701046862,0,1,1,0,1,-1,293,1,1,False,,0.23141505072283905,1.5,10.240228402878968,8.192182722303174,8.192182722303174,0,98.4,316.45624138981486,218.05624138981486,0.009592989531380009,0.009592989531380009
39,-0.9929422642932767,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,98.4,335.8604879377225,237.4604879377225,0.007057735706723314,0.007057735706723314
40,-0.9905546250359405,0,1,1,0,1,-1,289,1,1,False,,0.23792878009358417,1.5,10.432319652286603,8.345855721829281,8.345855721829281,0,48.0,267.07792403390874,219.07792403390874,0.009445374964059484,0.009445374964059484
41,-0.9649692880026687,0,1,1,0,1,-1,305,1,1,False,,-0.20889779811047687,1.5,9.668930770263321,7.735144616210657,7.735144616210656,0,300.0,198.77264262905476,101.22735737094524,0.03503071199733137,0.03503071199733137
42,-0.9658352682710954,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,350.4,245.67235833815982,104.72764166184015,0.03416473172890456,0.03416473172890456
43,-0.999558472489344,0,1,1,0,1,-1,305,1,1,False,,-0.2073124158836052,1.5,9.63457144100843,7.707657152806745,7.707657152806745,0,501.6,132.5326713320933,369.06732866790674,0.0004415275106559178,0.0004415275106559178
44,-0.9712010439804456,0,1,1,0,1,-1,286,1,1,False,,-0.6235890549598289,2.0,12.97998459167036,10.383987673336287,10.38398767333629,0,400.79999999999995,274.7504248082855,126.04957519171444,0.028798956019554452,0.028798956019554452
45,-0.9900722071468991,0,1,1,0,1,-1,290,1,1,False,,-0.23708643519380032,1.5,10.40685206492099,8.325481651936792,8.325481651936794,0,199.2,414.97887499158037,215.77887499158038,0.009927792853100843,0.009927792853100843
46,-0.9912053559282931,0,1,1,0,1,-1,355,1,1,False,,0.08291657502660285,1.0,6.572693317800413,7.211102550927978,7.211102550927978,0,300.0,523.7206892679244,223.7206892679244,0.008794644071706935,0.008794644071706935
47,-0.9540690868709258,0,1,1,0,1,-1,365,1,1,False,,-0.1125,1.0,6.18465843842649,7.211102550927978,7.211102550927978,0,98.4,48.95632254380837,49.44367745619164,0.04593091312907419,0.04593091312907419
48,-0.9617532801029036,0,1,1,0,1,-1,368,1,1,False,,-0.18906937476313407,1.0,6.2001827127119045,7.211102550927979,7.211102550927978,0,249.60000000000002,337.4487213960533,87.84872139605329,0.038246719897096326,0.038246719897096326
49,-0.9998083162189486,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,501.6,101.2985887831826,400.3014112168174,0.00019168378105135153,0.00019168378105135153
50,-0.9624117099175606,0,1,1,0,1,-1,367,1,1,False,,0.19224506065347668,1.0,6.233412567718051,7.211102550927978,7.211102550927978,0,350.4,259.74948096977323,90.65051903022675,0.0375882900824393,0.0375882900824393
51,-0.9557235974307874,0,1,1,0,1,-1,301,1,1,False,,0.21569358828763258,1.5,9.825290385101992,7.860232308081594,7.860232308081594,0,451.20000000000005,392.0286476581881,59.17135234181194,0.044276402569212635,0.044276402569212635
52,-0.9909351093849988,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,148.8,370.564040744629,221.76404074462897,0.009064890615001158,0.009064890615001158
53,-0.9914101338495827,0,1,1,0,1,-1,367,1,1,False,,-0.19422074273245898,1.0,6.2552984373646385,7.211102550927977,7.211102550927978,0,48.0,273.2320308602151,225.2320308602151,0.008589866150417343,0.008589866150417343
54,-0.9934198606502657,0,1,1,0,1,-1,324,1,1,False,,0.5503663771794237,1.5,10.364599609554466,8.291679687643573,8.291679687643573,0,300.0,541.6721994298614,241.6721994298614,0.006580139349734388,0.006580139349734388
55,-0.9981762141671812,0,1,1,0,1,-1,285,1,1,False,,0.245502008566001,1.5,10.669314931358294,8.535451945086635,8.535451945086635,0,451.20000000000005,142.39597499002275,308.8040250099773,0.0018237858328187997,0.0018237858328187997
56,-0.9822207801781232,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,148.8,321.36589607503777,172.56589607503776,0.017779219821876836,0.017779219821876836
57,-0.9543683236499367,0,1,1,0,1,-1,348,1,1,False,,0.06665719237987702,1.0,6.863937480135423,7.211102550927979,7.211102550927978,0,501.6,552.9119981114677,51.31199811146769,0.04563167635006329,0.04563167635006329
58,-0.9942705733906666,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,350.4,100.61501770689006,249.78498229310992,0.005729426609333364,0.005729426609333364
