policy,episodes,mean_reward,win_rate,loss_rate,mean_score_diff,mean_steps,mean_rally_hits,truncation_rate,mean_final_hit_offset,mean_final_speed_multiplier,mean_final_outgoing_speed,mean_final_ball_speed,mean_last_left_outgoing_speed,mean_successful_agent_returns,mean_final_target_alignment_error,mean_final_target_alignment_reward,mean_cumulative_target_alignment_reward,checkpoint_step
ppo_checkpoint_50000,300,0.23629883756020945,0.5566666666666666,0.44333333333333336,0.11333333333333333,2.13,2.13,0.0,0.028708024327839816,1.6583333333333334,11.121115033548978,10.758794170058582,8.161162120771309,1.13,47.741310648765236,0.04530853556950131,0.10036550422687611,50000
ppo_checkpoint_100000,300,0.8019580852030688,0.81,0.19,0.62,2.95,2.95,0.0,0.08246331582746101,1.835,12.267077142037223,12.055250421440348,8.448324900318118,1.95,32.26460574225336,0.047604913488294695,0.14295808520306888,100000
ppo_checkpoint_150000,300,0.8074788483232898,0.8066666666666666,0.19333333333333333,0.6133333333333333,3.1233333333333335,3.1233333333333335,0.0,-0.012187185782500538,1.8333333333333333,12.25188830019708,12.035080073338722,8.504761243790538,2.1233333333333335,31.178942755874086,0.047687772233418926,0.1516788483232897,150000
ppo_checkpoint_200000,300,0.8144138409132311,0.81,0.19,0.62,3.1266666666666665,3.1266666666666665,0.0,0.010457033979579448,1.8333333333333333,12.257659825202229,12.048062700894798,8.510759836268528,2.1266666666666665,30.670863966927865,0.04773954298459452,0.1518805075798978,200000
ppo_checkpoint_250000,300,0.8024717282784763,0.8033333333333333,0.19666666666666666,0.6066666666666667,3.1466666666666665,3.1466666666666665,0.0,-0.012949851757681596,1.8316666666666668,12.252958115479977,12.019738016503304,8.501420994621919,2.1466666666666665,31.25826077656772,0.047684422608442814,0.1528717282784764,250000
ppo_checkpoint_300000,300,0.8171302113058029,0.81,0.19,0.62,3.1666666666666665,3.1666666666666665,0.0,-0.041618004595902244,1.8333333333333333,12.279513254240932,12.057942640711849,8.459194957133107,2.1666666666666665,31.931696531616385,0.047589136506002,0.15379687797246963,300000
ppo_checkpoint_350000,300,0.8378476322365066,0.8266666666666667,0.17333333333333334,0.6533333333333333,2.986666666666667,2.986666666666667,0.0,0.019654134691593883,1.85,12.30762129838415,12.124041824254437,8.425594622904585,1.9866666666666666,31.610259517616978,0.04765377871879965,0.14478096556983996,350000
ppo_checkpoint_400000,300,0.8266054952151249,0.8166666666666667,0.18333333333333332,0.6333333333333333,3.11,3.11,0.0,-0.02468712918744384,1.8416666666666666,12.288166577302047,12.082171945282967,8.453538736088909,2.11,30.986767638020762,0.04771748080571823,0.1510721618817918,400000
ppo_checkpoint_450000,300,0.8240636359494206,0.8133333333333334,0.18666666666666668,0.6266666666666667,3.17,3.17,0.0,0.015988807432441597,1.8416666666666666,12.279859387163375,12.067219003033363,8.487695711893057,2.17,31.022580842559023,0.047701841536190163,0.15399696928275386,450000
ppo_checkpoint_500000,300,0.8291377587855656,0.8133333333333334,0.18666666666666668,0.6266666666666667,3.243333333333333,3.243333333333333,0.0,-0.005971986085819641,1.835,12.260822076428926,12.051643021523358,8.483573968551203,2.243333333333333,31.482510032206477,0.04765511461390639,0.15760442545223224,500000
