episode,reward,win,loss,steps,right_score,left_score,score_diff,frames,rally_hits,decision_count,truncated,truncation_reason,last_right_hit_offset,last_right_speed_multiplier,last_right_outgoing_speed,final_ball_speed,last_left_outgoing_speed,successful_agent_returns,last_selected_target_y,last_predicted_return_y,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward
16,-0.9830484081960146,0,1,1,0,1,-1,303,1,1,False,,0.21430846035346462,1.5,9.792245966218305,7.833796772974644,7.833796772974644,0,48.0,224.49885101898258,176.49885101898258,0.016951591803985464,0.016951591803985464
17,-0.970374050120213,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,170.77264955755993,122.77264955755993,0.029625949879787002,0.029625949879787002
18,1.0674762073594461,1,0,2,1,0,1,493,2,2,False,,0.9410716102204774,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,574.0399663978696,526.0399663978696,3.3585616087806908e-06,0.047476207359446014
19,-0.992139948826277,0,1,1,0,1,-1,368,1,1,False,,-0.18784102289335003,1.0,6.187980997206122,7.211102550927979,7.211102550927978,0,48.0,278.83894988642123,230.83894988642123,0.007860051173722972,0.007860051173722972
20,-0.9849377448757741,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,233.89011347223436,185.89011347223436,0.015062255124225888,0.015062255124225888
21,-0.9572923001514019,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,115.38056679232386,67.38056679232386,0.042707699848598096,0.042707699848598096
22,-0.9997108918624619,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,433.23467088650057,385.23467088650057,0.0002891081375381392,0.0002891081375381392
23,-0.9996110602142216,0,1,1,0,1,-1,315,1,1,False,,-0.22184643477103663,1.5,9.276987657639737,7.42159012611179,7.42159012611179,0,48.0,421.9826036854786,373.9826036854786,0.0003889397857783412,0.0003889397857783412
24,-0.9997702963459121,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,441.73857073252316,393.73857073252316,0.0002297036540879592,0.0002297036540879592
25,-0.9055275078926142,0,1,2,0,1,-1,583,2,2,False,,0.5699357763302892,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,48.0,187.95126076583574,139.95126076583574,0.0253287780353346,0.0744724921073858
26,-0.999748620176769,0,1,1,0,1,-1,299,1,1,False,,-0.2296902893437574,1.5,9.975221867519862,7.980177494015891,7.980177494015891,0,48.0,438.4267172906136,390.4267172906136,0.0002513798232309266,0.0002513798232309266
27,-0.9954894005710012,0,1,1,0,1,-1,366,1,1,False,,-0.19890081655161646,1.0,6.310789473200935,7.211102550927978,7.211102550927978,0,48.0,311.21298780680763,263.21298780680763,0.0045105994289987425,0.0045105994289987425
28,-0.9874574610437954,0,1,1,0,1,-1,368,1,1,False,,-0.19009538719420505,1.0,6.210654081399572,7.211102550927979,7.211102550927978,0,48.0,247.56811929030846,199.56811929030846,0.012542538956204602,0.012542538956204602
29,-0.8992931009669164,0,1,2,0,1,-1,623,2,2,False,,0.0596214648779295,1.0,7.211102550927978,7.211102550927978,7.211102550927978,1,48.0,166.4158668766609,118.41586687666091,0.030726853532099474,0.08070689903308356
30,1.2073417302396612,1,0,4,1,0,1,978,4,4,False,,0.9658203914624813,2.0,12.97998459167036,12.979984591670362,8.653323061113573,3,48.0,408.9953224609644,360.9953224609644,0.0005417804387087516,0.1473417302396612
31,-0.9829849831693487,0,1,1,0,1,-1,303,1,1,False,,-0.21181820839181,1.5,9.73433958723362,7.787471669786897,7.787471669786896,0,48.0,224.19389660069146,176.19389660069146,0.017015016830651288,0.017015016830651288
32,1.1001848257958382,1,0,2,1,0,1,507,2,2,False,,1.0,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,157.30885955263693,109.30885955263693,0.03302111071868459,0.08018482579583809
33,1.0687569474974996,1,0,2,1,0,1,456,2,2,False,,0.6658049622910646,2.0,12.97998459167036,12.97998459167036,7.211102550927978,1,48.0,485.14925293711985,437.14925293711985,6.565278641374321e-05,0.04875694749749964
34,-0.9907855471815511,0,1,1,0,1,-1,368,1,1,False,,0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,268.6988765506213,220.69887655062132,0.00921445281844888,0.00921445281844888
35,-0.9299802327641179,0,1,2,0,1,-1,573,2,2,False,,-0.3669714180503775,1.5,10.816653826391967,8.653323061113573,8.653323061113573,1,48.0,426.75937713883616,378.75937713883616,0.00034328967072404655,0.05001976723588213
36,-0.9993642358485244,0,1,1,0,1,-1,287,1,1,False,,-0.2429906291385361,1.5,10.589151315723596,8.471321052578878,8.471321052578878,0,48.0,402.5568753820987,354.5568753820987,0.000635764151475574,0.000635764151475574
37,-0.9995919481659996,0,1,1,0,1,-1,296,1,1,False,,-0.22559703747184373,1.5,10.078377025507116,8.062701620405695,8.062701620405695,0,48.0,420.13097335475913,372.13097335475913,0.00040805183400038117,0.00040805183400038117
38,-0.9959055363591387,0,1,1,0,1,-1,293,1,1,False,,0.23141505072283905,1.5,10.240228402878968,8.192182722303174,8.192182722303174,0,48.0,316.45624138981486,268.45624138981486,0.004094463640861342,0.004094463640861342
39,-0.9971854213478906,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,335.8604879377225,287.8604879377225,0.002814578652109423,0.002814578652109423
40,-0.9905546250359405,0,1,1,0,1,-1,289,1,1,False,,0.23792878009358417,1.5,10.432319652286603,8.345855721829281,8.345855721829281,0,48.0,267.07792403390874,219.07792403390874,0.009445374964059484,0.009445374964059484
41,-0.9772923035801995,0,1,1,0,1,-1,305,1,1,False,,-0.20889779811047687,1.5,9.668930770263321,7.735144616210657,7.735144616210656,0,48.0,198.77264262905476,150.77264262905476,0.0227076964198005,0.0227076964198005
42,-0.9871251686056371,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,245.67235833815982,197.67235833815982,0.012874831394362816,0.012874831394362816
43,-0.960986571633687,0,1,1,0,1,-1,305,1,1,False,,-0.2073124158836052,1.5,9.63457144100843,7.707657152806745,7.707657152806745,0,48.0,132.5326713320933,84.53267133209329,0.03901342836631308,0.03901342836631308
44,-0.99161240583248,0,1,1,0,1,-1,286,1,1,False,,-0.6235890549598289,2.0,12.97998459167036,10.383987673336287,10.38398767333629,0,48.0,274.7504248082855,226.75042480828552,0.008387594167519994,0.008387594167519994
45,-0.9995342657118782,0,1,1,0,1,-1,290,1,1,False,,-0.23708643519380032,1.5,10.40685206492099,8.325481651936792,8.325481651936794,0,48.0,414.97887499158037,366.97887499158037,0.0004657342881217775,0.0004657342881217775
46,-0.9999806675288582,0,1,1,0,1,-1,355,1,1,False,,0.08291657502660285,1.0,6.572693317800413,7.211102550927978,7.211102550927978,0,48.0,523.7206892679244,475.7206892679244,1.9332471141859603e-05,1.9332471141859603e-05
47,-0.8148182065936929,0,1,3,0,1,-1,881,3,3,False,,-0.06139620455835271,1.0,7.211102550927978,7.211102550927978,7.211102550927978,2,48.0,101.95012584743586,53.95012584743586,0.04519380171026646,0.1451817934063071
48,-0.9972736173260164,0,1,1,0,1,-1,368,1,1,False,,-0.18906937476313407,1.0,6.2001827127119045,7.211102550927979,7.211102550927978,0,48.0,337.4487213960533,289.4487213960533,0.0027263826739835706,0.0027263826739835706
49,-0.9546964128932994,0,1,1,0,1,-1,368,1,1,False,,-0.1875,1.0,6.18465843842649,7.211102550927977,7.211102550927978,0,48.0,101.2985887831826,53.298588783182595,0.04530358710670055,0.04530358710670055
