policy,episodes,mean_reward,win_rate,loss_rate,mean_score_diff,mean_steps,mean_rally_hits,truncation_rate,mean_final_hit_offset,mean_final_speed_multiplier,mean_final_outgoing_speed,mean_final_ball_speed,mean_last_left_outgoing_speed,mean_successful_agent_returns,mean_final_target_alignment_error,mean_final_target_alignment_reward,mean_cumulative_target_alignment_reward,timesteps
ppo_eval,100,0.8000927942510822,0.8,0.2,0.6,3.21,3.21,0.0,0.0477793894183472,1.845,12.324769129269768,12.074136795636646,8.71260122586906,2.21,32.3325129727616,0.0476464469600887,0.1558927942510822,140000
ppo_eval,100,0.8171930317427125,0.81,0.19,0.62,3.17,3.17,0.0,0.0628911418336839,1.85,12.324769129269768,12.100096764819988,8.664810465115755,2.17,32.97682431785477,0.0476007790749301,0.1537930317427124,150000
ppo_eval,100,0.8227834679128335,0.81,0.19,0.62,3.25,3.25,0.0,0.0957561215499903,1.855,12.324769129269768,12.100096764819988,8.69382992145575,2.25,32.527318536625856,0.0476465289405541,0.1577834679128334,160000
ppo_eval,100,0.8207235370575776,0.81,0.19,0.62,3.22,3.22,0.0,0.1141525650176081,1.85,12.3195771354331,12.09490477098332,8.660279445434588,2.22,32.55466399754079,0.0476374817509399,0.1563235370575775,170000
ppo_eval,100,0.7662764619163464,0.78,0.22,0.56,3.3,3.3,0.0,0.0835110276570903,1.835,12.3195771354331,12.0170248634333,8.726446542766842,2.3,33.19957892143774,0.0475092079754497,0.1602764619163463,180000
ppo_eval,100,0.7642352844186898,0.78,0.22,0.56,3.27,3.27,0.0,0.0660412197307479,1.835,12.3195771354331,12.0170248634333,8.726446542766842,2.27,32.936683453970794,0.0475379397722845,0.1588352844186898,190000
ppo_eval,100,0.8069635181769286,0.8,0.2,0.6,3.31,3.31,0.0,0.0550743202208146,1.84,12.3195771354331,12.06894480179998,8.740868747868697,2.31,32.950084868887146,0.0475552155032346,0.1607635181769285,200000
ppo_eval,100,0.765595819470739,0.78,0.22,0.56,3.29,3.29,0.0,0.0964054122077853,1.835,12.3195771354331,12.0170248634333,8.75781680387276,2.29,33.136338569698665,0.047514338621528,0.1597958194707389,210000
ppo_eval,100,0.7655720558461112,0.78,0.22,0.56,3.29,3.29,0.0,0.114959574887975,1.835,12.3195771354331,12.0170248634333,8.702140468194571,2.29,33.081119981263555,0.0475307195868027,0.1597720558461112,220000
ppo_eval,100,0.7820390147003683,0.79,0.21,0.58,3.24,3.24,0.0,0.1227103553486545,1.84,12.3195771354331,12.04298483261664,8.703680272874637,2.24,33.59924854284149,0.0474990033511549,0.1572390147003681,230000
ppo_eval,100,0.8511064583196365,0.82,0.18,0.64,3.37,3.37,0.0,0.0717510775228518,1.855,12.393596275678096,12.159335195360963,8.762918703415613,2.37,32.93132679682944,0.0475759195849933,0.1637064583196364,240000
ppo_eval,100,0.8318447316228699,0.81,0.19,0.62,3.38,3.38,0.0,0.0829377325690996,1.855,12.385169270715322,12.1266336222074,8.673685130894384,2.38,33.21937003468283,0.0475764262560127,0.1642447316228698,250000
ppo_eval,100,0.8726437341600065,0.83,0.17,0.66,3.39,3.39,0.0,0.1146317883568182,1.865,12.393596275678096,12.185295164544304,8.68819693214867,2.39,31.62378138935719,0.0477239764310133,0.1648437341600064,260000
ppo_eval,100,0.8125123107631629,0.8,0.2,0.6,3.39,3.39,0.0,0.1101758488892197,1.855,12.363535963062535,12.083367006901836,8.700031128349641,2.39,33.68298808503044,0.0474860114800785,0.1647123107631628,270000
ppo_eval,100,0.8130870023559731,0.8,0.2,0.6,3.4,3.4,0.0,0.1022425359089782,1.85,12.363535963062535,12.083367006901836,8.70195265289402,2.4,34.04963505380155,0.0474061120821108,0.1650870023559731,280000
ppo_eval,100,0.8048327344833139,0.8,0.2,0.6,3.28,3.28,0.0,0.1041813501331805,1.855,12.368727956899203,12.088559000738506,8.692083269613939,2.28,32.76307523180094,0.04754892631743,0.1592327344833139,290000
ppo_eval,100,0.8055058137655231,0.8,0.2,0.6,3.29,3.29,0.0,0.0208055694678211,1.855,12.368727956899203,12.088559000738506,8.658929250065801,2.29,33.23260493471921,0.0475155136317463,0.1597058137655232,300000
ppo_eval,100,0.810384307275383,0.8,0.2,0.6,3.36,3.36,0.0,0.0230736407688191,1.855,12.368727956899203,12.088559000738506,8.666428796718769,2.36,33.15398546264697,0.0475604642874309,0.1631843072753829,310000
ppo_eval,100,0.7977052370368289,0.8,0.2,0.6,3.18,3.18,0.0,0.0741072661028602,1.855,12.368727956899203,12.088559000738506,8.664866603577355,2.18,33.941562875558766,0.0474468023564541,0.154105237036829,320000
ppo_eval,100,0.7853533809828045,0.79,0.21,0.58,3.29,3.29,0.0,0.0548528543689132,1.855,12.368727956899203,12.062599031555164,8.63816127471913,2.29,34.91146926445383,0.0473651162608572,0.1595533809828044,330000
ppo_eval,100,0.8281595862785217,0.81,0.19,0.62,3.33,3.33,0.0,0.0095227417630032,1.86,12.37715496186198,12.121260573892064,8.64490287868935,2.33,34.03232851798212,0.0474543974452882,0.1615595862785216,340000
ppo_eval,100,0.8240808023721569,0.81,0.19,0.62,3.27,3.27,0.0,0.0527993902146839,1.86,12.39036126455199,12.13182561604407,8.641622603943576,2.27,33.64471626678529,0.04751479854993,0.1586808023721568,350000
ppo_eval,100,0.8024778655680999,0.8,0.2,0.6,3.25,3.25,0.0,0.0177785647647844,1.855,12.364201177986596,12.084937577608416,8.656000092780607,2.25,34.971347448989576,0.04736260860881,0.1574778655680999,360000
ppo_eval,100,0.8225762402455468,0.81,0.19,0.62,3.25,3.25,0.0,0.0131408808434599,1.86,12.39036126455199,12.13182561604407,8.610586018564382,2.25,34.72778933234372,0.0474166325959256,0.1575762402455468,370000
ppo_eval,100,0.8239617367689803,0.81,0.19,0.62,3.27,3.27,0.0,-0.020525805613735,1.855,12.350994875296587,12.10033250463975,8.609552604335182,2.27,33.839066831898826,0.0474526631437398,0.1585617367689803,380000
